BKZ,1385,Asphalt,13/31
BLA,3100,Asphalt,02/20
BLA,3150,Asphalt,15/33
BLE,2310,Asphalt,14/32
BLF,1446,Asphalt,05/23
BLG,427,Bitumen,05/23
BLI,2042,Asphalt,16/34
BLJ,3000,Asphalt,05/23
BLK,1870,Asphalt,10/28
BLK,798,Asphalt,07/25
BLK,997,Asphalt,13/31
BLL,3100,Asphalt,09/27
BLQ,2800,Asphalt,12/30
BLR,4000,Asphalt,09L/27R
BLR,4000,Asphalt,09R/27L
BLT,1163,Asphalt,18/36
BLV,2438,Concrete,14R/32L
BLV,3048,Concrete,14L/32R
BLW,2200,Gravel,04/22
BLZ,1372,Asphalt,15/33
BLZ,2325,Asphalt,10/28
BMA,1667,Asphalt,12/30
BMD,838,Dirt,13/31
BME,2368,Asphalt,10/28
BMI,1134,Asphalt,03/21
BMI,1988,Concrete,11/29
BMI,2438,Concrete,02/20
BMK,1000,Asphalt,13/31
BMK,810,Grass,05/23
BMK,870,Grass,12/30
BMO,1677,Bitumen,15/33
BMQ,1524,Asphalt,01/19
BMU,2200,Asphalt,13/31
BMV,3000,Asphalt,09/27
BMW,3300,Asphalt,08/26
BMY,600,Asphalt,09/27
BNA,2348,Concrete,02L/20R
BNA,2439,Concrete,02C/20C
BNA,2439,Concrete,02R/20L
BNA,3362,Asphalt,13/31
BND,3456,Asphalt,03L/21R
BND,3660,Asphalt,03R/21L
BNE,1700,Asphalt,14/32
BNE,3300,Asphalt,01L/19R
BNE,3560,Asphalt,01R/19L
BNI,2400,Asphalt,05/23
BNK,1900,Asphalt,06/24
BNN,1199,Asphalt,03/21
BNP,1830,Unknown,07/25
BNS,1200,Asphalt,03/21
BNS,2000,Asphalt,13/31
BNX,2503,Asphalt,17/35
BNY,667,Coral,11/29
BOA,1020,Gravel,03/21
BOB,1505,Asphalt,11/29
BOC,1500,Asphalt,09/27
BOD,2415,Asphalt,11/29
BOD,3100,Asphalt,05/23
BOG,3800,Asphalt,13L/31R
BOG,3800,Asphalt,13R/31L
BOH,2271,Asphalt,08/26
BOI,1524,Asphalt,09/27
BOI,2975,Asphalt,10R/28L
BOI,3048,Asphalt,10L/28R
BOJ,3200,Concrete,04/22
BOM,2990,Asphalt,14/32
BOM,3660,Asphalt,09/27
BON,2880,Asphalt,10/28
BOO,3394,Concrete,07/25
BOS,1524,Asphalt,14/32
BOS,2134,Asphalt,09/27
BOS,2397,Asphalt,04L/22R
BOS,3050,Asphalt,04R/22L
BOS,3073,Asphalt,15R/33L
BOS,779,Asphalt,15L/33R
BOT,400,Unknown,01/19
BOY,3300,Asphalt,06/24
BPE,2600,Concrete,8/26
BPN,2494,Asphalt,07/25
BPS,2000,Asphalt,10/28
BPT,1545,Concrete,16/34
BPT,2057,Concrete,12/30
BPX,4500,Asphalt,14/32
BPY,1074,Asphalt,08/26
BQA,1200,Asphalt,05/23
BQG,1050,Concrete,03/21
BQJ,2000,Gravel,05/23
BQK,2438,Concrete,07/25
BQL,1801,Paved,14/32
BQN,3566,Asphalt,08/26
BQS,2821,Asphalt,18/36
BQT,2620,Asphalt,11/29
BQU,1100,Asphalt,12/30
BRC,2348,Asphalt,11/29
BRD,1243,Asphalt,12/30
BRD,1984,Asphalt,05/23
BRD,2164,Concrete,16/34
BRD,853,Asphalt,01/19
BRE,2634,Asphalt,09/27
BRE,700,Asphalt,05/23
BRI,156,Asphalt,12/30
BRI,3000,Asphalt,07/25
BRK,1000,Grass,18/36
BRK,1830,Asphalt,05/23
BRL,1631,Concrete,12/30
BRL,1860,Asphalt,18/36
